id;text
UgwclEajEgkY3TD8cNl4AaABAg;masih ngincer yg poco x7 pro
Ugzx3IA_tGViDisNe0x4AaABAg;kelemahan xiaomi/poco itu hanya 1 miui/hyperOS nya.. ampun dah, coba aja kaya samsung modelan one ui, auto laku..
Ugyo-SoAYPGJIMDXv5p4AaABAg;Riviu poco m7 bg
Ugw14wqz1JdHmnhh4OR4AaABAg;Bang hp yg udh turun harga dan jadi sangat worth it untuk dibeli dong
UgzDDPtEKgMRgsr0vTZ4AaABAg;Gw adalah mipens yg benci bat ama ni poco, dri dlu cuma pakai xiaomi ama redmi, brand anomali pocontol, sory to say aja sekelas 14T/T pro aja gk ada iklan trus limitnya gk separah brand anomali ini😂masa x6p ama x7p nya bisa kesaing ama Gt 20 pro😮, F6 aja beda tipis performnya ama Finix gt 20,sumpah os nya poco ni aneh
UgwW7e9c3Dvoc9l15Jx4AaABAg;"masih setia sama rog 6😅
tpi liat dari desain ny bikin ngilerr"
UgzEhWRvo8LsobKS9Fl4AaABAg;tim yang cuma beli doang nonton kaga
UgxUMrJkTDHv74r3EVd4AaABAg;Bang bahas fenomena Samsung A73 layar bergaris sudah banyak memakan korban😢
Ugz0PRGtC30OSaBnHHZ4AaABAg;Honor 200 pro dong bahas
Ugyfpn7LltMhO6BWgKl4AaABAg;tidak beli, tapi sedikit kecewa
Ugz4pAIMu9y9Gt4rOlZ4AaABAg;Itu modul kamera bentuk nya mirip sharingan😮😮
UgxWv1bGGtaioTH44mx4AaABAg;Bang.. review Red Magic 10 Pro bang edisi ciwi
Ugw8dRuoa84DF07KECN4AaABAg;Kalian siap untuk Tab S10 Ultra dari Bang David!!
Ugy8nvfWTCsoYiAp7cB4AaABAg;Bang review hp oppo a5 pro 5g bang
UgzCHcJyX820W8PFzVl4AaABAg;Review red magic lg bg
Ugzc7dMpuYy4lE-ozwZ4AaABAg;Bang cobain hp samsung M56 5G
Ugz8SymSse3ei7nArNZ4AaABAg;Omaigat foco
UgzoLedIzGOTyjyTus54AaABAg;Logo shareit min
Ugzf6t-ugncFqYE_Qeh4AaABAg;skip seri ini... terlalu mahal...😅😅 mending upgrade pc buat 10 juta...buat main gta 6 entr... tunggu harganya turun aja 👍🏻
UgyriAu7zWZzgDXPQOt4AaABAg;Review galaxy A26 bang
UgzzFa_cTaBQSt7_hil4AaABAg;review vivo v50 lite bangg
Ugza4Nhrx2ZT3HOS8tx4AaABAg;Kameranya kaya mata sharingan madara
UgwcUyLw4LGoEOcvFfh4AaABAg;Flagship ko ada iklan over price
UgxkvK5laFNGxz0TOFZ4AaABAg;Bang buat konten unboxin barang random lg dong pleasee kangen banget
UgxmxnXk7MhWO5SK7B94AaABAg;Bg David kenapa GK unboxing Mysteri box lgi
UgxRalkq51aMEAaWsGx4AaABAg;bang review hp untuk kaum mendang mending dong bang yang designnya simple
UgwmUFImaf22u17yTIZ4AaABAg;"info review realme yg ada lensa""nya dong mas😂😂😂"
Ugx8FqBHOu62EbtjiC94AaABAg;DESAINNYA GA BANGET VIBESNYA MALAH KAYA HP SATU JUTAAN
UgycCbNhTR1D2kMLxxx4AaABAg;Kapan Poco m7?
Ugy6pb29jll2OhfkHzp4AaABAg;Bg tolong riview Meizu 20 infinity dong Bg🙏
UgxOwcUMQbCFTdYTVzV4AaABAg;Bang review nubbin dong
Ugx1asGpUEKj4_zoWsh4AaABAg;Unboxing realmi mirrorless bang
Ugw_ZRRz8R4uc0sF8Vt4AaABAg;Silahkan beli xiaomi atau redmi tapi jgn poco, HP berjuta masalah harga jutaan tapi masih iklan kntttol 😂😂😂
AHB7NvtaLzcAHFJQA-Qpbj;U aja oon nda tau cara ilangin.. Simple padahal
Ugw6Xy1cNGZIRG-dJa94AaABAg;yg kaca helm nutup sendiri krna polisi tidur sini ngumpul
UgzexNGFO2tFLRk2MNV4AaABAg;Lebih ke shareit sih bang daripada mangekyou Sharingan nya madara
UgwYznHaYQD90QPaQ6N4AaABAg;Xiaomi pad 7 kapan diriview kak
UgyQh67IrVb2gdUqk_V4AaABAg;F5 kan triple kamera bang (?)
UgwVXDueP0OWTRi4tj54AaABAg;Coba gt 30 pro bang
Ugxg16fKD41NIHpN2Pp4AaABAg;Mending iqoo 13
UgzhFLhixiRRafwDV8N4AaABAg;"Bang iqoo 10
Bang iqoo 10
Bang iqoo 10"
Ugzy18zciRI6ncsjFa54AaABAg;Baru pas hari sabtu beli, beli kopi kapal api nya
UgzwDyr6Hn2zVxkr8gN4AaABAg;Apakah akan ada masalah di kaebel flexible yng meleleh atau cpu yang minta reball seperti pendahulunya poco f2pro yg di review di sini sangat sempurna.
AHB1Ia_tXSJAHFJUZrDjAA;Udah beda generasi jauhh
UgyOuyg_txsCAFE34514AaABAg;"Bang bagi hp dong satu, dari pada dirumah abang hp kaga kepake
Mending buat saya ngojek
Hp saya udah rusak lcd retak"
AHB-zYcOz0fAHFJaDUxgKu;Ngojek cari yg baterai besar aja
UgyyoeLqTxPChVgQFHZ4AaABAg;bang untuk sekarang hp sejutaan yang paling worth it hp apa?
UgzZOjujrqddQEsnDJV4AaABAg;bang coba review kabel data dong kyknya belum pernah dehh, yang jepsin 4 in 1 kalau bleh
UgzFby9CHByKctETt494AaABAg;"Bre.. 
Bisa ngk rekomendasiin Power bank yang bagus itu apa? 
Gue bingung mau milih yang mana"
UgwKnZ7THBJTxRgV1ZF4AaABAg;Bang coba review hp ZTE Blade V50 desain plis🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
UgzoS500tvXWxf6pDj54AaABAg;Bg David kenal mahyong😢
UgzqF7zj1TZxiExEWkR4AaABAg;entah kenapa si poco series kalo untuk video berasa kurang soal stabilisasi, masih ada jitternya, pernah bandingin langsung dengan xiaomi T series dan memang enak yg xiaomi series buat yg mentingin kamera
Ugx47tRtcjAP57kKzHt4AaABAg;alah bagiku iklan 5 dtk ga jd masalah. ya wajar mreka cari duit dr situ. yg pntg chipset oke hargaa terjangkau
UgyI49uG8ZFzO-M348J4AaABAg;4:53 gua tau Vid nyenggol siapa😂😂
UgxBzf3qWQGBtHi2n9V4AaABAg;riview nubia neo 3 gt nanti bang
UgyaW-Ard5UsfIySpLZ4AaABAg;Nanya dong jarak F6 ke F7 ini berapa lama ya? Gua kemarin nyesel banget beli F5 tau tau keluar F6 jaraknya 5 bulan setelah gua beli F5 mana masih ada cicilan lgi 7 bulan 😢
UgyD5hIn84aGrMfEqEV4AaABAg;Haduh baru bat beli iqoo13, poco 8 eliite juga
UgyHFvXb4WkNeKqOkQJ4AaABAg;Udah punya 😂
UgwaJTHK1whYeWkx9xl4AaABAg;8:18 test banting 😁
Ugzv_pw18d6lICZyIMB4AaABAg;Rakit PC lagi bg
UgzUiuFupzEwRFN58kl4AaABAg;Bang coba test gaming game Minecraft yg pakek Vibran visual
Ugx600qHh8oYKg-CteZ4AaABAg;bang, review iQOO Z10 yang udh rilis di India
UgzVZWoykZcU7SP3IIZ4AaABAg;Cooling hp murah tapi dingin ada yg jual ga bg?
UgyB4bCnU59HCZwdXCl4AaABAg;Banh serius nanya Tecno camonn40 pro 5g kapan rilissnya
Ugw180V4iGCLWcjkNiJ4AaABAg;Kameranya mirip ShareIt
Ugw5ov9E1Csb2Hd9Alx4AaABAg;KAPAL API UDH DINGIN ASEMM AHH
UgwSm0Ej4TxLDBjZJYV4AaABAg;Bank riview nou bia Noe 3
Ugws_3HFQNlCUGuqKL94AaABAg;gacha xilonen lah biar makin berdamage
UgxFWZeOaN0d8LNZ4fB4AaABAg;Bang, nostalgia dong hp Samsung note 20 ultra di olshop yang sekarang murah banget
UgyQVR9R8Woeit1tyF94AaABAg;Poco nya ga kebeli, kapal api nya aja saya mampu
UgwuJS7zL9HaCRb3Bt94AaABAg;Bang David, review HUAWEI MATE XT dong
UgxiBGfUn1k2BTEilZZ4AaABAg;"WQWQWQWQ

ADA IKLANNYA, ADA IKLANNYA, ADA DONG IKLANNYA

Sampaaahhhh banget. Nonton gini cuma mau liat aja apa yang dikasih, tp gak pernah mau beli line hp nya xiaomi"
Ugx28EAdVMFHTYjI-mZ4AaABAg;"Bang bandingkan sama IQOO 13
Kan IQOO yg bawa Snapdragon Elite"
UgwuwL-Go8oImzphxot4AaABAg;Bang saran kalo pas minum kopi coba ada triak  kayak agos kotak
Ugx9b-WLY5z7zPd-oVh4AaABAg;bang redmi note 13 pro 5g ram 12/512 harga brp?
UgwIbQ8f8CyEKOzBf3N4AaABAg;Realme gt 7 pro kapan bang?
Ugyn89ewjaeskkJwC_p4AaABAg;"popopopopopopo co poco anomali hp yg muncul tiba"" dengan harga 10 juta"
UgwPYd549nDb4ZqAikt4AaABAg;Bang coba bahas hp poco m7 pro 5G
UgwAQ5B-cMTkNRB3j3d4AaABAg;"Saran dong bg Dana 2,5 buat gaming hp apa ya ?
Intinya ga cepat panas aja chipset nya juga bagus makasih saran nya"
Ugx397n2xJlu6PBRrN14AaABAg;Bang riview poco m7 pro 5g
Ugzo4TtER6Qh2xTv3AR4AaABAg;Bang review infinix gt ultra bang plissssssssss udah paket lengkap
UgxBHaEgad4oooaChLl4AaABAg;Kira² dengan harga 11 jtaan ambil poco apa iphone 15 ya guys, keperluan untuk gaming dan livestreaming tiktok?
AHA7ccLlue5AHAwj-TjVr3;Iphone 15 aja
AHA7ccLlue5AHAxWwZvw5q;@ahapzhu  oke makasih info nya bg, kekurangan dan kelebihan nya apa aja klo di iphone bg?
AHA7ccLlue5AHB051f7dt_;iphone itu kelemahan nya cmn 1 yaitu gak bisa di install apk pak tani.
AHA7ccLlue5AHB3B0W26K5;@@helisuansyah150 😅😅
AHA7ccLlue5AHFK2650ZBo;​Desainnya jg jelek + baterai boros​@@helisuansyah150
UgwdYqk193R0FTNarkF4AaABAg;RED MAGIC 9 PRO BANG🎉
UgyNG0eF5KKjZog0d4d4AaABAg;Alhamdulillah udah kebeli , kopi apal api nya
UgyRLSiCPabYVgtdhKd4AaABAg;Tumben bang fotonya ada coffeeshop di bogor wkwk
UgxWS8j6cmMaFtoHrmF4AaABAg;upload ulang ya
Ugxa6EFZ73kwoVS7GAl4AaABAg;Bahas Nubbin Tech, real or fake?
UgwZ6ccQtKwewGGLMJF4AaABAg;Ngopi enak banget
UgyDqhRFyJI5GzFHnxV4AaABAg;cek donk, selfie gesture kok pada ilang ya di hp xiaomi
UgwUZa0tsR-ywNGgo4h4AaABAg;Peletakan tulisan POCO kurang pas 😂😂
UgxO5ytyt9TbCTzqYnR4AaABAg;"Konsep desainnya itu  ""merendah untuk meroket""  bng"
UgyhR3HWLqiHlvpeGZB4AaABAg;Baru kali ini poco blunder 😅😂😂
AHA1iTIIr0DAHFK8JpQPye;Blundernya gmn?
AHA1iTIIr0DAHFKV5OW9rp;@MarkCo25  iklan tuh masih muncul, harga beda dikit sama flagship mending ambil merk sebelah lebih mantapp
AHA1iTIIr0DAHFMts5T38j;@@julsangpetualang3949 merk sebalah apa coba? Iqoo 13?
UgwDy7vdhF46JDO1fZ94AaABAg;Bang @gadgetin sekali2 beli smartwatch murah2... Video versus... Sepertinya banyak yg buku rekom
Ugx3mqArwnK4-Oz9FqB4AaABAg;Saran hp buat game budget 5jt bg
AH9y6nhxfvlAHFKAyB8_NE;X7 pro
UgwIZjX3y2vIj-rSXAd4AaABAg;Kamera mata uchiha
UgwHTaBjSocfzJtj2zJ4AaABAg;muka nya mirip temen smp gw,kalo jajan suka ngumpet ngumpet,ngisi ulangan di tutupin ga bisa di contek
Ugz1pg4uZvjY4oEgg7t4AaABAg;bang coba revew advan tab v8
Ugw5bMF8WzSI2P6MvOR4AaABAg;Gw yang masih pake f4, 😢😢😢😢
UgxIoGUh1jlDFpwZU-B4AaABAg;itu kalo mau pake headset colok dimana?
AH9jvQxcJ1AAHA90LXDyIn;Di type C nya, jadi pake earphone yg type C
AH9jvQxcJ1AAHFKH8HOhGp;​@@reza_nofiandri21rekom headset apa om yg type c?
UgxH7YxfqcP_mYuEllZ4AaABAg;Techo spark20 pro +
UgzIAky59zQv-Tp40Dh4AaABAg;Bang coba review hp inoi yang 2,9
UgyTTmTu7N25rSDwwmV4AaABAg;"Ya kali 10jt an dapet hp mirip tampilan Tecno Spark 20 Pro+ yang harga nya 2,5jt an..

Sumpah gak ada mewah² nya look design nya.. maaf.."
UgzaJFyWGxMW-xihLph4AaABAg;masih nunggu series poco penerus f4 gt yg ada tombol L1 R1, berguna bgt main game fps
AH9frj-ZasgAHFKLElaHph;Beli aksesoris gituan murah kan
UgwQK3lmnGg-CYZHMg54AaABAg;TIM YANG GAK NONTON DOANG TAPI UDAH BELI, TAPI MAU YANG BARU LAGI..? ✋
UgzI9kDYxl15sb_NWQR4AaABAg;Bang review POCO PAD
UgyxmowGnLlcfVOjAE14AaABAg;Dukungan software berapa tahun bang?
UgwNTc9m6NjF_LcRWeh4AaABAg;Bank coba riview hp Acer yg  baru
UgzrGt51qfQmSZaf6WB4AaABAg;Review Vivo v50 lite dong bang
UgwQInWuoM2Yl_cG1bJ4AaABAg;Kak reviu HP infinix note 50 pro plus 5G
UgzGbWZwWd47ubaH8Bx4AaABAg;Rekomendasi HP 2jt merk apa ya yg bagus?
Ugwi0t0oUh1Y6SjVr314AaABAg;"buat ukuran orang yang beneran mampu beli HP 10jt, kayaknya gak bakalan mendang-mending deh 😅
buat yang maksain mampu beli
""MENDING BUAT BELI BERAS"""
UgxlWih9kdPdZACS2894AaABAg;Paling cuma bisa beli kopi kapal api doang😂😅
UgwM2Jh789MEMOXyfMp4AaABAg;Flagship kw ini mah
UgwK9eg1rYu6IUWZqv94AaABAg;Bang David,tolong dong review Vivo V50 Lite 5G🙏🏻
UgyoFwFqTPWM6JuM3E54AaABAg;BANG BIKIN VIDEO TWS RECOMMENDED 2025 DONG !!! 😁🙏
UgybARctn4k5Nykr3z14AaABAg;Desain techno spark 20 pro+ 😮
UgwcunayOYMCd3EUjMZ4AaABAg;😂😂😂ada iklan😂😂😂
UgxGcNr5Dhgz78RwV254AaABAg;bang cobain nubbin sama tolong beritau kita itu real or hoax
Ugy_Q9pw8Ju0ZwghJC14AaABAg;Itel a80 bang 🙏🏻 hp sejutaan
UgyeX5fiK4WUiqiqa814AaABAg;Sekali POCO ya tetap POCO. Harga 10 jt an juga bakalan ada iklan. Kalo ga mau iklan, ya beli Xiaomi lah. Harga segitu dah dapet 🗿. Kamera lebih bagus malah
Ugwb0LlkXiz9vnuLpwJ4AaABAg;bikin rekomendasi tws buat awal taun 2025 dong min🙏🏼
AH8gHkpx9zrAH8gJ11v1JT;up
UgyDKrVc86EoHEVd0sl4AaABAg;Tim yg nonton pake iPhone
UgyS2yTDqOMm8LmmCTd4AaABAg;Mending Poco F7 Apa iPhone 15 Pro? 😂
Ugx7wuQodR0ny_OeI8h4AaABAg;"BG sekali'"" baha mini pc"
UgwEjCU_3v29ejR6fX14AaABAg;bang unboxing poco m7 pro 5g 😅
UgyY58dAqHh59yLFGyl4AaABAg;Bang david cpu snapdragon 6s 4g gen 1 sama helio g 99 bagus yang mana
UgysO8l7swfzPRrVJLt4AaABAg;Bg bahas tablet Poco pas terbaru 😊😊
UgySgvN4W5-QroefCk54AaABAg;Coba dong review brand pendatang baru dari eropa INOI A75 ELEGANCE & A35 ADVENTURE.
Ugw4EKtbJp0Ojj7NGYt4AaABAg;Saya pakai poco f1 dari 2018 masih mantap😅
UgyExUezmAYD_lmorlx4AaABAg;Bg David bikin rekomendasi hp gaming terbaik dari harga yang termurah sampai yang termahal
Ugx_OmP27vLSAndLtX54AaABAg;izin upload video bang, kukasih sourcenya
UgyYE0va1s-nvA_BWsZ4AaABAg;kaya obito kameranya wkwk
Ugz7CG8SmJEKF4SfypB4AaABAg;"Nonton pake Poco F5
Semoga bisa upgrade F7 Ultra, mayan 2x lipat harganya😅"
UgyYpiNEAv2orpb9Yjh4AaABAg;Bang mending poco x7 pro / poco f6
UgzuNfPEFTUvV67StTB4AaABAg;Bng riview Vivo v50 lite
UgyJMueKU14ZSlmB0BV4AaABAg;Bang david review Realme GT 7 pro
Ugxe9G-FjEitoHdHmtF4AaABAg;Head to head 14T Pro bang david
UgxkJcVkj4BJ-4M4QH54AaABAg;Bg ada ngak hp second bekas riview di harga 1jutaan yg mau dijual.
UgzaiWFvbVAkfq8qP6p4AaABAg;"maaf tanya..
samsung J15 prime 5G  adakah di indonesia bang?"
UgwwdLz0zJqBTvE44XV4AaABAg;bingung antara poco m7 pro 5g sama redmi note 14 5g bang🙏🙏🙏
Ugy2OWY9QPzdmBNHme54AaABAg;poco m7 pro 5g plisss riview 🙏🙏🙏
UgzmAbnYQT1uBO4C-bV4AaABAg;poco m7 pro 5g bang🙏
UgwtJ-UvRWN5M5XTPvZ4AaABAg;bang poco m7 pro 5g bang plis🙏🙏🙏
Ugx_vNRk27G69dyApcV4AaABAg;Akhirnya setelah nonton vidio ini, gua pun harus memilih kopi kapal api😅
UgwLQNkitfXiPrQ0u1h4AaABAg;Review Nubia Red Magic 10 air bang
Ugw6OKnbLLp6awpZblR4AaABAg;BANG POCO M7 PRO 5G DONG BANG
Ugyr4X0Gt0CpdjewZZB4AaABAg;Bang David, ditunggu review Vivo V50 Lite😊
UgyprWXPGERApud4vWB4AaABAg;Bang, coba review hp Honor GT, Honor GT pro, Iqoo Z9 Turbo dan Iqoo Neo 10 di video selanjutnya
UgwnbW22tAjY7NAU30V4AaABAg;wani
Ugzqd5HxhJ1iwjnf3DN4AaABAg;Cuma bisa beli kopi kapal api nya aja🗿
UgwoBoVKdhhpsC0YqX54AaABAg;Diseain nya kek hp tecno sprak 20 pro +
Ugx8tQ6Sv5Y4FrXd7R94AaABAg;Gas dibikinin poco f7 ultra sama iqoo13
AH8GDLQH-hZAH8GFEkuJbj;Bagus mana min kira kira
Ugz6lL4ukX-ByM69jDt4AaABAg;unboxing VIVO V50 LITE 5G dong bang
UgwzkrwP4pFYuBAVEUN4AaABAg;Bang David, bahas TANK PAD dong yang bisa di buat projector 😂
Ugx0dtC91aOwslenFxF4AaABAg;6:05 di F2 Pro triple camera juga bang, tapi F2 pro yang ke 3 nya telemacro aja sih. pernah nyoba mayan kepake walaupun nggak selalu😊
UgwfCtK8NR1lb8uR6yN4AaABAg;Saya rasa untuk value 10juta , ambil bar and poco mikir lagi, gua masih mending beli ip 13pro, atau iqoo dr vivo, ga ada iklan
UgwnG3JCFNI7dCMAlbF4AaABAg;lanjut vivo v50 lite baru🤤
UgzmfhNucqxbI3uhfC54AaABAg;GT 20 pro layarnya adem bgt sih..
Ugx_-vtCsTTLnW2xgCR4AaABAg;loh dah rilis toh, tahun lalu perasaan Juni
Ugzl1T4h8Maz5Bnq2k14AaABAg;Bang saya minta tolong dong bikinin perbandingan hp infinix Gt 20 pro yang ORI sama yang versi komi bang soalnya banyak yang sudah kena scam Gt 20 komi ituu 🙏🏻🙏🏻🙏🏻 pliss bangg
UgwbgENHseAd57yUtgB4AaABAg;Udh 2 minggu pake poco f7 ultra dan emg bener ada iklannya 🤣😂
Ugz1mNG8lHSylc3XZm14AaABAg;Bang David review headphone under 500k dong 😅
Ugx4xTVH9n1yUl1BFeN4AaABAg;Bg review hp redmi A5
Ugxjq97oMTfOIjxkN6h4AaABAg;Ampun terlalu mahal
UgyJW4107uiaO6wpoYt4AaABAg;6:31 jirrr kamera nya mirip saringgan madara😂
UgzBzErbQkRUW5EMsWx4AaABAg;sruput ahhhh
Ugz5TKSJUFr28ZZlmxJ4AaABAg;"Poco f7 ultra
Poco f7 pro
Poco f7 biasa ada ga sih? 🤔"
Ugzr30gN7mWCjYFVq9Z4AaABAg;Saran Bang, sekarang kalau Tes Game tambahin Wuthering Waves dong, Genshin mah masih enteng 😅
Ugy5gra8Ryx46PBB9Mx4AaABAg;poco f7 ultra lawannya one+ 13t
Ugz1D0e8SwWbGCPQ7Gd4AaABAg;Pantes poco f6 harganya turun derastis wkwkw
UgyiXfreoEo8w20rvwh4AaABAg;Masih anteng di F5
UgyICtaNX7Zt68GhkqJ4AaABAg;Bang review infinix smart 9, murah tapi mantap
Ugzj4srzWTOu3ySOm594AaABAg;Tim yang nonton doang tp kaga beli
UgwGjAd2BLG7odnr1op4AaABAg;Bang riview hp realme gt 7 pro dong bang plis
UgzoBVPjTSnBznHDdjh4AaABAg;Bahas hp samsung A26 5G bang
Ugx5oMDG3gnCfXROx8d4AaABAg;uciha poco
UgyF0Vxu-ZzPHq5gwW14AaABAg;Kls entry lama ga bahas bangg😢,sesekali lah
UgzurkDqiFz7sARjcYB4AaABAg;Bang bahasa poco m7pro 5G dong
Ugyhu19yAy-B1cyTZl14AaABAg;"Ada yang dari Semarang g Bang...
Ada yang mau di tanyain"
Ugxw3EJ3BRcFT_tRI3t4AaABAg;Bang coba review air cooler
UgxqGgTBjfjJ_cmPz4N4AaABAg;Duhh nunggu v50 lite masih lama kah bgg
UgwjyN0X6cV95itg-J54AaABAg;"Jadi yg mahal bukan software dll
Tapi iklannya yg mahal.. 10jt😂
Jual iklan berkedok jual hp 🤣

Keknya mending beli hp yg ga ada kepala chargernya tapi tahan lama deh ketimbang beli hp iklan seharga 10jt..😂😂😂"
UgzpbJmGfpYngy0oWLp4AaABAg;Review nubia neo 3 gt 5g
UgxtXYU-9xCYPDLUO0h4AaABAg;Bg tolong rekomendasiin fan cooler buat hp infinix hot 50 dong semoga di jawab
UgyM_RoD8B-DEgVlzDV4AaABAg;kameranya ampas bgt! mending nambah dikit beli ip15
UgxGv7JYOmjn1mbBiUN4AaABAg;bang kalau review hp coba pakai buat maun wuathering waves
Ugy9QNqXsepVyR1qB2J4AaABAg;"Cara matiin iklan,masuk pengaturan, search ""iklan"" trs ntr di matiin,udh aman dah,klo masih ada buka apk bawaan,masuk pengaturan nya,trs matiin iklan nya"
UgwW-xliiuUr8KG26iB4AaABAg;Bang mau nanya ,hp saya Xiaomi 14t pro kalau tombol volume nya itu kaya kurang rapat di pegang terus di keatasin kebawahin bunyi gitu tombol volumenya itu normal apa engga bang 😢
UgwCHZe6C2FsVHQpJE94AaABAg;ngikuti dari dulu kok gak ada ya bagi2 hp pada subscreb😂
UgzAURn6IJuq4nnEQm94AaABAg;Bg nnti riviu dong invinix 50 pro +
Ugxkg1GFpBJJX0Z1nth4AaABAg;4:57 Waduh nyenggol produk buah :v
UgwpfPPNqXhxg9m-5tV4AaABAg;Tumben segel uda kebuka
UgwdNMlEvSFeThKSgdp4AaABAg;Bang review Poco m7 pro bang,buat yang budgetnya 2jutaan worth it ga bang?
UgymfkbXremB479tN014AaABAg;miripp vivo x80 pro
