Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
32,2,0.6567,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",pengen beli hp buat ngonten tapi belum bisa banyak kebutuhan buat keluarga semoga tahun depan bisa kebeli
33,2,0.7034,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",udah beli
34,3,0.4155,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",lah ya kalah ama iqoo yg snapdragon elite
35,5,0.4583,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",kapal api mantap bosque
36,0,0.9127,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",tidak ada jek audio tidak keturunan murni hp gaming
37,0,0.6899,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",ga ada bypass jg
38,5,0.8653,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",videonya masih nge glitch ya
39,1,0.4243,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",mantab kopinya
40,5,0.5882,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",poco the best lah
41,5,0.9618,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",akhirnya kebeli juga mungkin ada kali ya tahun nabung buat beli akhirnya kebeli juga kopi kapal api kalian yang lagi nabung buat beli kopi semangat ya
42,5,0.9268,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",wkkwkw gpp bang taon lagi secondan tinggal jutaan
43,5,0.8653,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",review hp xiaomi bang david
44,4,0.6995,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",pixel nya boleh tu bang
45,5,0.8652,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",sssssttttttttssstttttt jgn keras
46,0,0.8107,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",lah baru tau ada f ultra
47,2,0.5356,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",masih ngincer yg poco x pro
48,4,0.7107,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",kelemahan xiaomipoco itu hanya miuihyperos nya ampun dah coba aja kaya samsung modelan one ui auto laku
49,2,0.8189,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",riviu poco m bg
50,3,0.8998,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",bang hp yg udh turun harga dan jadi sangat worth it untuk dibeli dong
51,3,0.9878,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",gw adalah mipens yg benci bat ama ni poco dri dlu cuma pakai xiaomi ama redmi brand anomali pocontol sory to say aja sekelas tt pro aja gk ada iklan trus limitnya gk separah brand anomali inimasa xp ama xp nya bisa kesaing ama gt pro f aja beda tipis performnya ama finix gt sumpah os nya poco ni aneh
52,4,0.9377,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",masih setia sama rog tpi liat dari desain ny bikin ngilerr
53,2,0.9165,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",tim yang cuma beli doang nonton kaga
54,2,0.7577,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang bahas fenomena samsung a layar bergaris sudah banyak memakan korban
55,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",honor pro dong bahas
56,5,0.8129,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",tidak beli tapi sedikit kecewa
57,4,0.8969,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",itu modul kamera bentuk nya mirip sharingan
58,2,0.9292,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang review red magic pro bang edisi ciwi
59,0,0.8637,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",kalian siap untuk tab s ultra dari bang david
60,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang review hp oppo a pro g bang
61,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",review red magic lg bg
62,5,0.8129,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bang cobain hp samsung m g
63,3,0.8216,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",omaigat foco
64,4,0.4871,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",logo shareit min
65,0,0.5285,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",skip seri ini terlalu mahal mending upgrade pc buat jutabuat main gta entr tunggu harganya turun aja
66,0,0.8107,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",review galaxy a bang
67,5,0.6119,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",review vivo v lite bangg
68,4,0.9154,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",kameranya kaya mata sharingan madara
69,3,0.8998,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",flagship ko ada iklan over price
70,3,0.4983,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",bang buat konten unboxin barang random lg dong pleasee kangen banget
71,5,0.9137,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bg david kenapa gk unboxing mysteri box lgi
72,3,0.5295,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",bang review hp untuk kaum mendang mending dong bang yang designnya simple
73,5,0.5369,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",info review realme yg ada lensanya dong mas
74,3,0.4742,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",desainnya ga banget vibesnya malah kaya hp satu jutaan
75,2,0.7034,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",kapan poco m
76,0,0.5864,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",bg tolong riview meizu infinity dong bg
77,0,0.8107,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",bang review nubbin dong
78,1,0.8663,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",unboxing realmi mirrorless bang
79,3,0.5734,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",silahkan beli xiaomi atau redmi tapi jgn poco hp berjuta masalah harga jutaan tapi masih iklan kntttol
80,1,0.9144,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",u aja oon nda tau cara ilangin simple padahal
81,3,0.9395,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",yg kaca helm nutup sendiri krna polisi tidur sini ngumpul
82,4,0.8969,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",lebih ke shareit sih bang daripada mangekyou sharingan nya madara
83,3,0.6741,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",xiaomi pad kapan diriview kak
84,4,0.8166,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",f kan triple kamera bang
85,2,0.819,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",coba gt pro bang
86,1,0.8144,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",mending iqoo
87,1,0.8665,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",bang iqoo bang iqoo bang iqoo
88,5,0.5336,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",baru pas hari sabtu beli beli kopi kapal api nya
89,5,0.8632,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",apakah akan ada masalah di kaebel flexible yng meleleh atau cpu yang minta reball seperti pendahulunya poco fpro yg di review di sini sangat sempurna
90,5,0.5695,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",udah beda generasi jauhh
91,2,0.4979,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang bagi hp dong satu dari pada dirumah abang hp kaga kepake mending buat saya ngojek hp saya udah rusak lcd retak
92,4,0.4525,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",ngojek cari yg baterai besar aja
93,3,0.8218,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",bang untuk sekarang hp sejutaan yang paling worth it hp apa
94,5,0.9439,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bang coba review kabel data dong kyknya belum pernah dehh yang jepsin in kalau bleh
95,1,0.5578,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",bre bisa ngk rekomendasiin power bank yang bagus itu apa gue bingung mau milih yang mana
96,1,0.53,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",bang coba review hp zte blade v desain plis
97,5,0.8653,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bg david kenal mahyong
98,4,0.9697,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",entah kenapa si poco series kalo untuk video berasa kurang soal stabilisasi masih ada jitternya pernah bandingin langsung dengan xiaomi t series dan memang enak yg xiaomi series buat yg mentingin kamera
99,4,0.9676,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",alah bagiku iklan dtk ga jd masalah ya wajar mreka cari duit dr situ yg pntg chipset oke hargaa terjangkau
100,1,0.5463,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",gua tau vid nyenggol siapa
101,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",riview nubia neo gt nanti bang
102,0,0.9642,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",nanya dong jarak f ke f ini berapa lama ya gua kemarin nyesel banget beli f tau tau keluar f jaraknya bulan setelah gua beli f mana masih ada cicilan lgi bulan
103,1,0.9274,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",haduh baru bat beli iqoo poco eliite juga
104,3,0.1933,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",udah punya
105,5,0.8129,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",test banting
106,4,0.6995,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",rakit pc lagi bg
107,5,0.6252,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bang coba test gaming game minecraft yg pakek vibran visual
108,1,0.6765,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",bang review iqoo z yang udh rilis di india
109,3,0.5658,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",cooling hp murah tapi dingin ada yg jual ga bg
110,2,0.8,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",banh serius nanya tecno camonn pro g kapan rilissnya
111,4,0.8166,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",kameranya mirip shareit
112,3,0.4962,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",kapal api udh dingin asemm ahh
113,1,0.7345,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",bank riview nou bia noe
114,1,0.8956,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",gacha xilonen lah biar makin berdamage
115,0,0.926,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",bang nostalgia dong hp samsung note ultra di olshop yang sekarang murah banget
116,5,0.6602,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",poco nya ga kebeli kapal api nya aja saya mampu
117,2,0.5965,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang david review huawei mate xt dong
118,3,0.9636,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",wqwqwqwq ada iklannya ada iklannya ada dong iklannya sampaaahhhh banget nonton gini cuma mau liat aja apa yang dikasih tp gak pernah mau beli line hp nya xiaomi
119,1,0.5411,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",bang bandingkan sama iqoo kan iqoo yg bawa snapdragon elite
120,2,0.8659,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang saran kalo pas minum kopi coba ada triak kayak agos kotak
121,2,0.6028,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang redmi note pro g ram harga brp
122,2,0.5649,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",realme gt pro kapan bang
123,3,0.5597,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",popopopopopopo co poco anomali hp yg muncul tiba dengan harga juta
124,2,0.8982,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang coba bahas hp poco m pro g
125,1,0.9549,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",saran dong bg dana buat gaming hp apa ya intinya ga cepat panas aja chipset nya juga bagus makasih saran nya
126,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang riview poco m pro g
127,5,0.9268,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bang review infinix gt ultra bang plissssssssss udah paket lengkap
128,1,0.9588,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",kira² dengan harga jtaan ambil poco apa iphone ya guys keperluan untuk gaming dan livestreaming tiktok
129,0,0.6899,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",iphone aja
130,0,0.9433,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",ahapzhu oke makasih info nya bg kekurangan dan kelebihan nya apa aja klo di iphone bg
131,4,0.695,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",iphone itu kelemahan nya cmn yaitu gak bisa di install apk pak tani
132,5,0.6932,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",helisuansyah
133,4,0.4665,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",desainnya jg jelek baterai boroshelisuansyah
134,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",red magic pro bang
135,5,0.5154,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",alhamdulillah udah kebeli kopi apal api nya
136,0,0.8935,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",tumben bang fotonya ada coffeeshop di bogor wkwk
137,4,0.8165,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",upload ulang ya
138,2,0.9165,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bahas nubbin tech real or fake
139,1,0.8144,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",ngopi enak banget
140,0,0.6288,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",cek donk selfie gesture kok pada ilang ya di hp xiaomi
141,3,0.5721,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",peletakan tulisan poco kurang pas
142,3,0.9178,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",konsep desainnya itu merendah untuk meroket bng
143,4,0.868,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",baru kali ini poco blunder
144,2,0.8189,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",blundernya gmn
145,3,0.9663,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",markco iklan tuh masih muncul harga beda dikit sama flagship mending ambil merk sebelah lebih mantapp
146,1,0.9144,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",julsangpetualang merk sebalah apa coba iqoo
147,0,0.9432,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",bang gadgetin sekali beli smartwatch murah video versus sepertinya banyak yg buku rekom
148,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",saran hp buat game budget jt bg
149,2,0.7034,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",x pro
150,4,0.4559,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",kamera mata uchiha
151,5,0.9584,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",muka nya mirip temen smp gwkalo jajan suka ngumpet ngumpetngisi ulangan di tutupin ga bisa di contek
152,2,0.8982,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang coba revew advan tab v
153,2,0.7034,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",gw yang masih pake f
154,1,0.8956,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",itu kalo mau pake headset colok dimana
155,1,0.8957,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",di type c nya jadi pake earphone yg type c
156,1,0.5897,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",reza_nofiandrirekom headset apa om yg type c
157,2,0.5782,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",techo spark pro
158,5,0.8653,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bang coba review hp inoi yang
159,2,0.963,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",ya kali jt an dapet hp mirip tampilan tecno spark pro yang harga nya jt an sumpah gak ada mewah² nya look design nya maaf
160,0,0.954,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",masih nunggu series poco penerus f gt yg ada tombol l r berguna bgt main game fps
161,5,0.8948,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",beli aksesoris gituan murah kan
162,2,0.8982,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",tim yang gak nonton doang tapi udah beli tapi mau yang baru lagi
163,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang review poco pad
164,5,0.8128,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",dukungan software berapa tahun bang
165,1,0.6359,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",bank coba riview hp acer yg baru
166,5,0.8653,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",review vivo v lite dong bang
167,1,0.4015,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",kak reviu hp infinix note pro plus g
168,3,0.5556,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",rekomendasi hp jt merk apa ya yg bagus
169,5,0.9618,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",buat ukuran orang yang beneran mampu beli hp jt kayaknya gak bakalan mendangmending deh buat yang maksain mampu beli mending buat beli beras
170,5,0.6806,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",paling cuma bisa beli kopi kapal api doang
171,4,0.8165,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",flagship kw ini mah
172,5,0.8948,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bang davidtolong dong review vivo v lite g
173,0,0.8936,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",bang bikin video tws recommended dong
174,2,0.8982,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",desain techno spark pro
175,3,0.708,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",ada iklan
176,4,0.9282,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",bang cobain nubbin sama tolong beritau kita itu real or hoax
177,0,0.8107,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",itel a bang hp sejutaan
178,3,0.7462,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",sekali poco ya tetap poco harga jt an juga bakalan ada iklan kalo ga mau iklan ya beli xiaomi lah harga segitu dah dapet kamera lebih bagus malah
179,0,0.5682,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",bikin rekomendasi tws buat awal taun dong min
180,3,0.1933,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",up
181,2,0.8982,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",tim yg nonton pake iphone
182,2,0.8982,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",mending poco f apa iphone pro
183,0,0.8106,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",bg sekali baha mini pc
184,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang unboxing poco m pro g
185,4,0.6235,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",bang david cpu snapdragon s g gen sama helio g bagus yang mana
186,2,0.9165,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bg bahas tablet poco pas terbaru
187,5,0.9439,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",coba dong review brand pendatang baru dari eropa inoi a elegance a adventure
188,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",saya pakai poco f dari masih mantap
189,1,0.5888,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",bg david bikin rekomendasi hp gaming terbaik dari harga yang termurah sampai yang termahal
190,0,0.9127,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",izin upload video bang kukasih sourcenya
191,4,0.5774,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",kaya obito kameranya wkwk
192,2,0.7091,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",nonton pake poco f semoga bisa upgrade f ultra mayan x lipat harganya
193,2,0.8982,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang mending poco x pro poco f
194,5,0.3954,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bng riview vivo v lite
195,5,0.6101,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bang david review realme gt pro
196,1,0.8957,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",head to head t pro bang david
197,3,0.4119,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",bg ada ngak hp second bekas riview di harga jutaan yg mau dijual
198,0,0.9127,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",maaf tanya samsung j prime g adakah di indonesia bang
199,2,0.9165,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bingung antara poco m pro g sama redmi note g bang
200,2,0.8982,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",poco m pro g plisss riview
201,2,0.819,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",poco m pro g bang
202,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang poco m pro g bang plis
203,5,0.9365,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",akhirnya setelah nonton vidio ini gua pun harus memilih kopi kapal api
204,2,0.7379,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",review nubia red magic air bang
205,2,0.819,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",bang poco m pro g dong bang
206,5,0.9137,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",bang david ditunggu review vivo v lite
